pid,front_color,back_color
199201006,보라,하양
200501158,분홍,
199101060,하양,
199701269,하양,
199601064,하양,
199801155,하양,
200101023,하양,
200200921,초록,
199901116,빨강,빨강
200401219,노랑,
199704519,회색,
200702523,노랑,
200700012,초록,
199601059,노랑,하양
198900886,주황,
199601061,하양,하양
200811020,하양,
200702543,노랑,
200307996,노랑,
200410344,주황,
200401199,하양,
200401202,노랑,
200210304,초록,노랑
199600386,하양,하양
200807363,분홍,
200807364,주황,
200702513,하양,
200501141,노랑,노랑
200501145,하양,
200607835,하양,
200808309,하양,
200803835,초록,
200101016,분홍,
199200869,하양,하양
199200870,노랑,노랑
199907155,하양,
199907156,하양,
200401235,하양,
199806740,하양,
198000234,하양,
200300896,연두,
200300898,파랑,
200009264,노랑,
200200076,하양,
199907231,하양,
200702367,하양,
200703261,하양,
200210519,분홍,
200308356,하양,
200802220,하양,
200802225,빨강,하양
200510974,분홍,
200702314,하양,
200511293,분홍,
200607838,갈색,
200501099,하양,
200705452,갈색,
200702296,하양,
200511803,분홍,
199806820,하양,
200702616,주황,
200808240,주황,연두
199907243,분홍,
199907244,파랑,
200804995,노랑,
200210513,하양,
199907249,노랑,
200308353,분홍,분홍
200308354,회색,분홍
198800164,노랑,
200700636,파랑,
200009077,하양,
200807360,노랑,노랑
200401209,하양,
200401211,하양,
200300903,갈색,
200401233,하양,
200501148,하양,
200501150,갈색,
197100088,검정,빨강
200401242,주황,
199101038,연두,
200500171,초록,초록
200807411,갈색,
200300119,분홍,하양
199900121,하양,
198900123,하양,
198800247,연두,
200300212,파랑,하양
200300213,노랑,
200500314,초록,노랑
200300215,하양,
200300216,주황,
199400179,하양,
199400171,분홍,
199400172,파랑,
198900184,연두,
199300354,주황,
199100118,하양,
200500181,하양,
199600195,하양,
199600199,연두,연두
199600203,하양,
199700048,하양,
200308324,노랑,
200410512,하양,
200410513,하양,
200410603,노랑,
200410505,분홍,
200511386,하양,
199500155,주황,
200410508,노랑,
200410509,파랑,하양
200410511,하양,
200511387,하양,
200109301,하양,
200700633,하양,
200700632,하양,
200410363,파랑,파랑
199701393,자주,
199806918,하양,
200606351,초록,
200606351,초록,
200000020,파랑,
200807367,분홍,
200807387,하양,
200807366,분홍,
200702551,노랑,
199304443,청록,분홍
200100244,갈색,
198600123,하양,
200702263,하양,
200702272,하양,
200702545,노랑,
201110563,노랑,
197700192,하양,
200500454,하양,
200101728,하양,하양
200705325,하양,
200200388,하양,
199400447,노랑,
199900377,연두,
199200518,하양,
199500386,노랑,
200000613,하양,
200300324,하양,
198200135,하양,하양
200410715,하양,
200410716,하양,
200100412,하양,
199800506,하양,
200500500,주황,
199900124,파랑,
200300106,분홍,
200410502,연두,노랑
200410504,하양,
200604084,하양,
200610765,하양,
200607636,하양,
200300217,연두,연두
200704535,분홍,
198000147,하양,하양
198600289,회색,하양
200705282,노랑,
200300298,초록,
200000609,분홍,
199200514,하양,
199200515,하양,
199800553,하양,하양
201800184,연두,
200308375,하양,
198400182,하양,하양
198500226,주황,노랑
200400217,주황,하양
200400219,노랑,
200500306,하양,
200500308,노랑,
200500309,하양,하양
200500310,주황,주황
200400127,하양,
199200317,하양,
200300208,하양,
200511377,갈색,
200511378,분홍,
200511379,주황,
200511380,노랑,
200511382,노랑,
200511383,갈색,노랑
200000242,하양,
198200050,주황,
200612341,빨강,
200100125,주황,
200100286,하양,
200600055,하양,
200400124,초록,
200400129,파랑,분홍
200100290,하양,
200702577,하양,
200811404,분홍,
200607680,분홍,
200410498,파랑,
200300202,하양,
200300204,초록,
200300206,초록,노랑
200300207,하양,
200511384,갈색,주황
200511385,노랑,
199400114,하양,
198902514,노랑,
200400315,하양,
199704687,주황,
199502668,하양,
199200643,하양,
199200644,연두,
200000930,분홍,
200200503,파랑,
198600367,청록,
200300441,하양,
199100346,하양,
200400548,초록,
200400550,분홍,
200000801,초록,갈색
198500321,하양,
200300459,하양,
200000932,하양,
200300461,주황,주황
200605374,갈색,
198600365,청록,
199800979,초록,하양
200500196,갈색,
200500211,하양,
200600090,하양,
199900353,갈색,분홍
199300486,하양,
200500473,하양,
200512236,초록,
200605358,주황,
200605358,노랑,
200605358,분홍,
198600282,하양,하양
200400135,분홍,
198600235,하양,
200001243,파랑,
200400138,노랑,
200400143,초록,
200500188,하양,
200500409,하양,
200500410,파랑,
199800455,하양,
199900342,하양,
198200120,하양,
199700833,하양,
199000441,하양,
199600216,하양,
198800316,하양,
200300262,파랑,하양
200300437,하양,
200400538,분홍,
200200343,연두,하양
200600127,하양,
200600128,하양,
199400540,하양,
199600625,하양,
200512240,하양,하양
200001275,하양,
200100857,노랑,하양
199800785,초록,하양
199200876,보라,하양
200512238,노랑,
199801012,하양,
199500696,하양,
200300307,하양,
200400383,하양,
200400384,초록,초록
200400386,하양,
200000919,노랑,노랑
200400382,노랑,
200200766,파랑,하양
200500969,하양,
199701131,하양,
200410941,하양,
199900409,하양,
200200365,하양,
200200368,하양,
200200369,하양,
200100418,하양,하양
199000383,노랑,
200400361,하양,
197200084,하양,
200811019,하양,
199800991,파랑,
200400369,하양,
200400372,빨강,노랑
200400377,파랑,
200200373,하양,하양
200400999,갈색,
200500961,하양,
200500963,하양,
199300766,갈색,갈색
199701129,노랑,
199100923,하양,
199100925,하양,
200807430,분홍,
198500515,주황,
199801011,하양,
199300208,노랑,
198400399,하양,
198600539,노랑,
200410942,노랑,
199100461,하양,
199500335,주황,
200000596,갈색,갈색
200300306,하양,
199800976,초록,하양
200000912,주황,
200300424,하양,
199700808,노랑,
200300430,파랑,
199200698,노랑,
200600207,파랑,파랑
200001267,초록,하양
199400579,빨강,하양
199400584,하양,
199400586,빨강,하양
199900547,하양,
198800257,하양,
200400519,노랑,노랑
200500581,하양,
200500585,분홍,
200600125,노랑,
198900577,하양,
199500466,하양,
199600597,하양,
199100626,초록,하양
199900260,주황,
199600671,하양,
197200160,하양,
197800242,하양,
200300431,하양,하양
199800324,하양,
200600046,하양,
200807473,하양,
199300997,갈색,
200200322,하양,하양
200400304,하양,
198800445,파랑,하양
200300260,하양,
199200421,주황,
200400524,빨강,
199700811,하양,하양
200009496,주황,
199800308,하양,
199800316,주황,
200400528,하양,
199700812,하양,
200500589,주황,
200500659,노랑,
200807474,하양,
200300251,초록,노랑
200300253,분홍,
200400299,연두,
200400300,하양,
200400301,하양,
200703803,노랑,
199300414,보라,하양
197900095,하양,
200807373,분홍,
200402138,하양,
200401068,연두,
198100081,빨강,회색
199800454,하양,
200100590,하양,
198500191,빨강,노랑
198300132,파랑,파랑
198200117,분홍,
200807431,빨강,
199700526,주황,
200400559,하양,하양
200000934,초록,연두
200300462,초록,초록
200400561,보라,하양
200400565,하양,
200400570,초록,
200400573,주황,하양
200400580,하양,
200600135,주황,
198100132,하양,
200500386,노랑,노랑
200500388,초록,노랑
200500389,하양,하양
200500390,하양,
200500391,하양,
200500392,하양,
200500395,하양,
200500400,하양,
200600077,노랑,
200605354,갈색,
200400479,하양,
199200406,하양,
198200157,하양,
198200118,청록,
199800446,노랑,노랑
199800447,하양,
198300130,분홍,
199300406,남색,하양
200400578,하양,
200500605,하양,
197500140,초록,초록
199000589,주황,
198600368,하양,
200000936,초록,초록
199700977,하양,
199200350,하양,
198400131,분홍,
199700490,하양,
200000495,갈색,갈색
200702690,노랑,
200200826,갈색,
200401093,노랑,노랑
200300757,연두,하양
200300762,갈색,
200703308,갈색,갈색
200001578,하양,
198800284,하양,하양
199400333,파랑,하양
200500665,노랑,
200606320,연두,
199400570,주황,
199700688,하양,
199900755,빨강,하양
200702202,분홍,
200400925,갈색,갈색
200500887,빨강,
199700940,하양,
200400798,주황,
200400799,하양,
200110047,주황,주황
200200641,하양,
200401085,분홍,
200501004,파랑,
200400801,초록,
200400802,하양,
200400803,하양,
200400804,노랑,노랑
199801075,하양,
199700945,하양,
200708031,하양,
199600319,하양,
200000909,하양,
200100602,연두,하양
199300385,주황,
200703600,하양,
198100698,하양,
200411018,파랑,하양
200300392,하양,
198800286,초록,노랑
200600109,주황,
199600559,하양,
199700978,하양,
199101125,주황,
199000272,파랑,파랑
199103336,회색,
199100628,하양,
199800751,하양,
199700692,노랑,
199300759,연두,
198900504,하양,하양
199000574,갈색,
200308836,하양,
200411015,주황,
200300241,갈색,
200400271,하양,
200400272,초록,연두
200400275,주황,노랑
200400276,초록,
200001344,하양,
198500668,검정,연두
200500587,분홍,분홍
199300386,하양,
200400278,하양,
199300384,갈색,노랑
199200629,하양,
199600313,주황,
198300133,하양,
199100631,하양,
199700798,하양,
200000908,회색,파랑
199907311,하양,하양
200210756,하양,하양
199000571,노랑,
199500277,하양,
199900914,주황,주황
200410943,초록,
199200914,하양,
200300769,초록,노랑
200401081,하양,
200300770,청록,
200401082,초록,
200300771,하양,
200401088,노랑,
200001349,하양,
198500892,하양,
200401089,하양,
198800752,빨강,빨강
200501008,하양,
199701740,하양,
199801575,하양,
200001929,하양,
200101731,하양,
200401814,하양,
199101529,하양,
199101531,하양,
200401816,하양,
200500797,노랑,
199201630,노랑,
198700535,하양,
199500627,파랑,
199500628,연두,
200605399,분홍,
199901648,하양,
200100858,하양,
200001276,하양,
195900032,주황,
199301096,하양,
196300064,하양,
197400277,노랑,
200607777,노랑,
200100714,노랑,노랑
200500676,하양,
200400684,초록,초록
200300505,하양,
199600913,주황,주황
200300694,하양,
200100906,노랑,노랑
200501103,빨강,
200600233,노랑,
200807009,하양,
199900916,갈색,
200401009,노랑,노랑
200605401,갈색,
197900219,노랑,
199301094,하양,
200400828,분홍,
200300768,주황,
199200936,파랑,파랑
198900817,하양,
200500818,하양,
200410894,하양,
200607775,갈색,
200607776,연두,
199200935,분홍,
197800304,하양,
198000304,초록,하양
198600402,주황,
200903896,노랑,
200300763,하양,
200400660,초록,
200500662,하양,
199600950,보라,
199600950,분홍,
199600950,주황,
