pid,shape
200807373,장방형
200402138,타원형
200401068,타원형
198100081,장방형
199800454,원형
200100590,원형
198500191,장방형
198300132,장방형
198200117,원형
200807431,타원형
199700526,원형
200400559,장방형
200000934,장방형
200300462,장방형
200400561,장방형
200400565,원형
200400570,기타
200400573,장방형
200400580,원형
200600135,타원형
198100132,원형
200500386,장방형
200500388,장방형
200500389,장방형
200500390,타원형
200500391,타원형
200500392,원형
200500395,원형
200500400,원형
200600077,원형
200605354,원형
200400479,타원형
199200406,장방형
198200157,원형
198200118,원형
199800446,장방형
199800447,타원형
198300130,원형
199300406,장방형
200400578,원형
200500605,원형
197500140,장방형
199000589,원형
198600368,원형
200000936,장방형
199700977,원형
199200350,원형
198400131,장방형
199700490,원형
200000495,장방형
200702690,원형
200200826,타원형
200401093,장방형
200300757,장방형
200300762,타원형
200703308,장방형
200001578,원형
198800284,장방형
199400333,장방형
200500665,타원형
200606320,장방형
199400570,원형
199700688,타원형
199900755,장방형
200702202,원형
200400925,장방형
200500887,타원형
199700940,타원형
200400798,원형
200400799,원형
200110047,장방형
200200641,원형
200401085,원형
200501004,원형
200400801,기타
200400802,원형
200400803,원형
200400804,장방형
199801075,장방형
199700945,원형
200708031,장방형
199600319,원형
200000909,원형
200100602,장방형
199300385,원형
200703600,원형
198100698,원형
200411018,장방형
200300392,원형
198800286,장방형
200600109,장방형
199600559,원형
199700978,원형
199101125,원형
199000272,장방형
199103336,원형
199100628,원형
199800751,원형
199700692,장방형
199300759,육각형
198900504,장방형
199000574,원형
200308836,타원형
200411015,타원형
200300241,원형
200400271,장방형
200400272,장방형
200400275,장방형
200400276,기타
200001344,원형
198500668,장방형
200500587,장방형
199300386,장방형
200400278,원형
199300384,장방형
199200629,원형
199600313,원형
198300133,장방형
199100631,원형
199700798,원형
200000908,장방형
199907311,장방형
200210756,장방형
199000571,원형
199500277,원형
199900914,장방형
200410943,기타
199200914,원형
200300769,장방형
200401081,장방형
200300770,기타
200401082,장방형
200300771,원형
200401088,기타
200001349,원형
198500892,원형
200401089,원형
198800752,장방형
200501008,원형
199701740,원형
199801575,원형
200001929,장방형
200101731,원형
200401814,장방형
199101529,원형
199101531,원형
200401816,원형
200500797,원형
199201630,원형
198700535,원형
199500627,원형
199500628,타원형
200605399,팔각형
199901648,마름모형
200100858,원형
200001276,장방형
195900032,원형
199301096,원형
196300064,원형
197400277,원형
200607777,타원형
200100714,장방형
200500676,팔각형
200400684,장방형
200300505,원형
199600913,장방형
200300694,원형
200100906,장방형
200501103,장방형
200600233,장방형
200807009,원형
199900916,원형
200401009,장방형
200605401,장방형
197900219,원형
199301094,원형
200400828,타원형
200300768,원형
199200936,장방형
198900817,원형
200500818,타원형
200410894,타원형
200607775,장방형
200607776,타원형
199200935,원형
197800304,원형
198000304,장방형
198600402,장방형
200903896,타원형
200300763,원형
200400660,기타
200500662,원형
199600950,기타
199600950,기타
199600950,기타
199600953,타원형
199800835,원형
200000999,장방형
197800154,원형
199500537,장방형
199900626,원형
199800836,장방형
200300494,원형
200300496,장방형
200200582,원형
200001003,장방형
